,,COCONUT,COCOMO2,CART,PEEKING,Knn(1),wt_knn(1),Linear Reg,wt_PEEKING
Nasa93,Anova + Blom,1,1,1,2,2,2,2,3
,Cliffs Delta,1,1,1,2,2,2,3,3
,Cliffs+Bootstrp,1,1,1,2,2,2,3,3
,A12+Bootstrp,1,1,1,2,2,2,3,3
,Lin Cliffs Delta,1,1,1,2,2,2,3,3
,,,,,,,,,
Coc81,Anova + Blom,1,1,2,3,3,3,5,4
,Cliffs Delta,1,1,2,3,3,3,4,4
,Cliffs+Bootstrp,1,1,2,2,2,2,3,3
,A12+Bootstrp,1,1,2,2,2,2,3,3
,Lin Cliffs Delta,1,1,2,2,2,2,3,3
,,,,,,,,,
Mystery1,Anova + Blom,1,1,1,1,1,1,1,1
,Cliffs Delta,1,1,2,3,2,2,3,3
,Cliffs+Bootstrp,1,1,2,2,2,2,2,2
,A12+Bootstrp,1,1,2,2,2,2,2,2
,Lin Cliffs Delta,1,1,2,3,2,2,3,3
,,,,,,,,,
Mystery2,Anova + Blom,2,1,1,2,2,2,2,2
,Cliffs Delta,1,1,1,2,1,1,4,3
,Cliffs+Bootstrp,1,1,1,1,1,1,2,2
,A12+Bootstrp,1,1,1,1,1,1,2,2
,Lin Cliffs Delta,1,1,1,2,1,1,3,2
,,,,,,,,,
albrecht,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
,,,,,,,,,
kemerer,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
,,,,,,,,,
kitchenham,Anova + Blom,,,2,3,3,3,1,4
,Cliffs Delta,,,1,2,2,2,1,3
,Cliffs+Bootstrp,,,1,2,2,2,1,2
,A12+Bootstrp,,,1,2,2,2,1,2
,Lin Cliffs Delta,,,1,2,2,2,1,3
,,,,,,,,,
maxwell,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,1,1,1,1,1,2
,Cliffs+Bootstrp,,,1,1,1,1,1,2
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,1,2
,,,,,,,,,
miyazaki,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,1,1,1,1,1,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,2,2
,,,,,,,,,
telecom,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,2,1,2,2,3,2
,,,,,,,,,
usp05,Anova + Blom,,,1,1,1,1,2,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,2,1
,A12+Bootstrp,,,1,1,1,1,2,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
,,,,,,,,,
china,Anova + Blom,,,1,1,1,1,2,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,2,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
,,,,,,,,,
cosmic,Anova + Blom,,,1,2,1,1,2,1
,Cliffs Delta,,,1,3,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,2,1,1,2,1
,,,,,,,,,
isbsg10,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,2,1,1,1,2,3
,Cliffs+Bootstrp,,,2,1,1,1,2,2
,A12+Bootstrp,,,2,1,1,1,2,2
,Lin Cliffs Delta,,,1,1,1,1,1,2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,COCONUT,COCOMO2,CART,PEEKING,Knn(1),wt_knn(1),Linear Reg,wt_PEEKING
,Average Rank,1,1,1.2,1.4,1.3,1.3,1.8,1.8
Counts,Rank 1,19,20,56,45,49,49,29,37
,Rank 2,1,,14,19,18,18,27,16
,Rank 3,,,0,6,3,3,11,14
,Rank 4,,,0,0,0,0,2,3
,Rank 5,,,0,0,0,0,1,0
